|Nom entreprise|Adresse|Ville|Telephone
2136|A Cuatro Patas|Cantueso,4|Segovia, Segovia (España)|921.440.975
2137|Clinica Veterinaria Del Val|Toledo, 10|Alcalá de Henares, Madrid (España)|918.826.401
2138|Clínica Veterinaria Tucan Moraleja|Paseo de Alcobendas, 10|Alcobendas, Madrid (España)|916.505.685
2139|Centro Veterinario Parque Grande|Parque del Teide, 27|Alcorcón, Madrid (España)|916.116.006
2140|Clínica Veterinaria Wecan Las Rozas|Dragonera, 5|Las Rozas, Madrid (España)|916.318.495
2141|Clinica Veterinaria Malina|Av. Fuenlabrada, 99|Leganés, Madrid (España)|916.932.955
2142|Clinica Veterinaria Loeches|Virgen de las Angustias, 6|Loeches, Madrid (España)|918.851.357
2143|Centro Veterinario Madrid|Hilarión Eslava, 56-58|Madrid, Madrid (España)|915.494.101
2144|Centro Veterinario Finat|Rafael Finat, 45|Madrid, Madrid (España)|917.106.766
2145|CLINICA VETERINARIA SACONIA|Av. Juan Andrés, 64|Madrid, Madrid (España)|913.736.494
2146|Centro Veterinario General Arrando|Gral. Arrando, 9|Madrid, Madrid (España)|914.484.174
2147|Elena Ruano Fernandez|Av. Valladolid, 43|Madrid, Madrid (España)|915.422.246
2148|Clinica Veterinaria Santa Ursula|Santa Úrsula, 2|Madrid, Madrid (España)|914.648.233
2149|CLINICA VETERINARIA SOMOSAGUAS CENTRO|Barlovento, KM 5.800|Pozuelo de Alarcón, Madrid (España)|917.156.142
2150|Centro Clinico Veterinario Val De Iglesias|Cdra. Alta, 30|San Martín de Valdeiglesias, Madrid (España)|918.610.665
2151|Clinica Veterinaria La Solana|Calle Dolores Ibárruri, s/n - local 1|Torrejón de Ardoz, Madrid (España)|916.778.898
2152|Darbon Centros Veterinarios|Sector A, Edif. Quijote, s/n|Matalascañas, Huelva (España)|959.430.057
2153|Darbon Centros Veterinarios|Avd. Escultora Miss Whitney, 13|Huelva, Huelva (España)|959.285.882
2154|Clinica veterinaria LA FUSTERA - FANADIX|Avenida de la Marina Carretera Calpe, Moraira, Fustera, Fanadix|Benissa, Alicante (España)|965.748.685
2155|Inmaculada Bendala Tamayo - Veterinaria a domicilio||Tarifa, Cádiz (España)|650.421.774
2156|Clínica Veterinaria Natura|Ctra. San Pedro del Pinatar, 24|San javier, Murcia (España)|968.190.952
2157|Rafa Lopez|Pl. San Agustín, 2 bajos|Jaén, Jaén (España)|953.080.104
2158|Clínica Veterinaria Auxo|Valladolid, 2 2 Bajo|Vitoria-Gasteiz, Álava (España)|945.251.925
2159|VETservice Clínica Móvil||Alcanar, Tarragona (España)|622.321.236
2160|Veterinario a Domicilio|Zaragoza y pueblos hasta 20 Km.|Zaragoza, Zaragoza (España)|644.291.031
2161|El Arca de Noe|Avenida de Severo Ochoa, 39|Marbella, Málaga (España)|952.777.43
2162|Centro Veterinario Carlos III|c/ Carlos III, 48-Bajo|Cartagena, Murcia (España)|968.526.142./69.242.712.1
2163|M. Leocadia Rodríguiguez Fernández|C/ Fernandez de Santiago, 62|Posadas, Córdoba (España)|957.630.899
2164|CLINICA VETRINARIA CIUDAD DE PALMA|Sol, 26 local|Palma del Río, Córdoba (España)|957.644.453
2165|Clínica Veterinaria Bejanque|Dr. Santiago Ramón y Cajal 15 y 17 Dr. Santiago Ramón y Cajal 15 y 17|Guadalajara, Guadalajara (España)|949.254.804
2166|Vets en casa|Avda. Rosalía de Castro 166 bajo|Perillo, A Coruña (España)|656.934.443
2167|Veterinario-Movil||Benissa, Alicante (España)|680.929.781
2168|Veterinario Kavuré A Coruña|Oleoducto, nº 17, bajo, dcha|A Coruña, A Coruña (España)|881.926.306
2169|Vetersalud Amigos 2|Musico Serrano ,4|Alcoy, Alicante (España)|966.523.394
2170|Centro Veterinario|c/ La Yedra, nº 38A (P.446A) Urb. Pinar Jardín, II|Marugan, Segovia (España)|921.196.477
2171|Veterval|Avda. Estudiantes, 53|Valdepeñas, Ciudad Real (España)|926.313.544
2172|Clínica Veterinaria Cameros|C/Fco. de Quevedo, 41Bajo|Villamediana de Iregua, La Rioja (España)|941.434.773
2173|Victoria Casar Espinosa||Coria del Río, Sevilla (España)|683.429.105
2174|clinica veterinaria archena|carretera de villanueva, 41|Archena, Murcia (España)|968.672.576
2175|C.V. Calma|C/ Comercio,5 Local 1 al lado parking gratuito municipal|Bargas, Toledo (España)|925.494.646
2176|Clinica Veterinaria Ferropet 2010 S.L.|Urb: Cortijos del Sol, C/ Las Eras, Nº 21|Alhaurín de la Torre, Málaga (España)|952.963.899, 628.642.835
2177|Clínica Veterinaria San Antonio|Carretera de Ronda , 12 bajo|Baza, Granada (España)|958.704.904
2178|clinica veterinaria mungia|aritz bidea 18|Mungia, Vizcaya (España)|946.744.517
2179|Merca Mascotes|c/nou 54 bajos|Els Pallaresos, Tarragona (España)|977.626.621, 636.707.524
2180|Ana Illade Fornos||Ferrol, A Coruña (España)|658.689.476
2181|Clínica Veterinaria El Cónsul|c/ Demóstenes 3, Local 1-2|Málaga, Málaga (España)|952.615.502
2182|Centro Veterinario San roque|C/ Don Eloy, Nº6|Ceutí, Murcia (España)|688.909.977
2183|Veterinario a domicilio Tarifa||Tarifa, Cádiz (España)|696.933.110
2184|Clínica veterinaria Amigo|C/ Isaac Peral 56B ISAAC PERAL 56|Dos Hermanas, Sevilla (España)|955.668.400, 637.426.392
2185|Cuatro Patas Veterinario Valladolid|c/NUEVA DEL CARMEN, Nº28BIS c/NUEVA DEL CARMEN, Nº28BIS|Valladolid, Valladolid (España)|983.006.405
2186|José María Romero Osoro, Chechu|Servicio a Domicilio|Gijón, Asturias (España)|655.387.533
2187|Mundo Mascota|Avenida del matadero, 54 Avenida del matadero, 54|Jaraíz de la Vera, Cáceres (España)|927.461.091
2188|CVeterinario Los Bermejales|PASEO DE EUROPA 17|Sevilla, Sevilla (España)|954.237.858
2189|Pegadas|Caldas de Reis, Portas, Moraña, Barro, Campo Lameiro, Meis, Poio, Ponteved|Pontevedra, Pontevedra (España)|603.653.073
2190|Ander Zabarte Viguri|c\ Mayor casa 9 c\ Mayor casa 9c\ Mayor casa 9c\ Mayor casa 9c\ Mayor casa 9|Anda, Álava (España)|605.723.850
2191|RamboVet Veterinario a Domicilio||Fuengirola, Málaga (España)|622.482.000
2192|Veterinaria Happypet|Calle Antonio Trueba 10 Subida Arroyo Jaboneros (El Palo)Subida Arroyo Jaboneros (El Palo)|Málaga, Málaga (España)|951.882.427, 693.057.565
2193|Carmen Rodriguez|Avd. Hernán Cortés, 24|Cáceres, Cáceres (España)|646.014.577
2194|Clínica Veterinaria Timanfaya-2|Gardenias, 5|Alcorcón, Madrid (España)|916.426.725, 608.521.288
2195|Clínica veterinaria Sant Marc|San Luis, 82|Almazora, Castellón (España)|964.551.199
2196|ConsultaCanina||Colunga, Asturias (España)|697.460.882
2197|Clínica Veterinaria AnimalFisio|Calamocha, s/n|Almería, Almería (España)|950.143.917
2198|Clinica Veterinaria Can|El Prado, 3|Lucena, Córdoba (España)|957.513.988
2199|CEVEPA Centro Veterinario Palentino|Marcelino Arana, 4|Herrera de Pisuerga, Palencia (España)|979.891.434
2200|Centro Veterinario Triunfo|Triunfo, s/n Esq. San Juan|Molina de Segura, Murcia (España)|968.641.106
2201|Centro Veterinario Doctor Animal|C/ Dr. Antonio Manzanares s/n|Córdoba, Córdoba (España)|957.941.699
2202|Servicios Veterinarios a domicilio. Raquel Trigueros||Vila-real, Castellón (España)|622.631.516
2203|VETSALUT|C/ Ramón y Cajal 14|Borriol, Castellón (España)|647.823.339
2204|Consulta Veterinaria Aviscan|Poeta Celso Emilio Ferreiro, 12, Local 3|Zaragoza, Zaragoza (España)|976.535.356
2205|Home&vet|C/ Narváez narváez 57 2ºB|Madrid, Madrid (España)|636.378.964
2206|Ricardo||Cáceres, Cáceres (España)|606.584.246
2207|MascoStyle|Calle de las Infantas, 42|Madrid, Madrid (España)|693.685.232
2208|Veterinària Cadaqués|Avda. Caritat Serinayana 23|Cadaqués, Girona (España)|691.675.643
2209|clínica veterinaria vinalopo|calle nueva 6|Elda, Alicante (España)|616.538.588
2210|Clínica Veterinaria Rioseco|Calle San Juan, Bajo 9, Medina de Rioseco|Medina de Rioseco, Valladolid (España)|627.347.166
2211|Clínica Veterinaria Hospicán|Rosalía de Castro, 31|Ames, A Coruña (España)|607.539.066
2212|Servicios Veterinarios Jacinto Benavente|Jacinto Benavente, 7|Vitoria-Gasteiz, Álava (España)|945.278.910
2213|Clínica Veterinaria El Pilar|Bilbao, 28|Albacete, Albacete (España)|967.223.109
2214|Teckel Clínica Veterinaria|Avenida Gregorio Arcos, 7|Albacete, Albacete (España)|967.666.477, 622.743.359
2215|Clínica Veterinaria Los Llanos|Tejares, 1|Albacete, Albacete (España)|967.215.978, 967.240.275
2216|Clínica Veterinaria Hellin|Juan Andujar Balsalobre, 5 bajo|Hellín, Albacete (España)|967.681.133
2217|Centro Veterinario Fátima|Arcipreste Gálvez, 26|Albacete, Albacete (España)|967.225.103
2218|El Arca De Noé. Asociacion Protectora De Animales Y Plantas|Pérez Galdós, 39|Albacete, Albacete (España)|967.508.278
2219|Clínica Veterinaria El Arca|Carlos III, 4 bajo|Alicante, Alicante (España)|965.554.359, 639.844.217
2220|La Marina|Rap, 3 bajo, (carretera las marinas)|Dénia, Alicante (España)|966.425.457
2221|Clínica Veterinaria San Carlos|San Carlos, 115 bajo|Alicante, Alicante (España)|965.140.518
2222|Pets World|Ctra. Orihuela (CV-95), KM 2|San Miguel de Salinas, Alicante (España)|965.720.830
2223|Hospital Veterinario Portocarrero|Costa Balear, 12 (Junto al Hotel Elba)|Almería, Almería (España)|950.859.004
2224|Clínica Veterinaria San Sebastián|Pablo Picasso, 11 (Junto Plaza Altamira)|Almería, Almería (España)|649.670.101, 950.253.718
2225|Centro Veterinario Zapillo|Avenida Mediterráneo, 27|Almería, Almería (España)|950.206.160
2226|Clínica Veterinaria Algaida|Juan Carlos I, 184|Roquetas de Mar, Almería (España)|950.327.876
2227|Zoo Club Centro Veterinario|Plaza Hermanos Martín Escudero, 17 Aguadulce|Roquetas de Mar, Almería (España)|950.347.376
2228|Costa Indalo|Parque Comercial Mojácar, local 80-81|Mojácar, Almería (España)|950.475.213
2229|Clínica Vet. S. Francisco|José Maldonado,6 bajo|Oviedo, Asturias (España)|985.234.788
2230|Servivet C.b.|Cronista Eduardo Ruiz Ayúcar, 10|Ávila, Ávila (España)|920.225.263
2231|Clínica Veterinaria Medea|Avenida de la Constitución s/n (Urbanizacion Los Naranjos - Pol. Ind. Nueva Ciudad - Bloque 2)|Mérida, Badajoz (España)|924.371.865
2232|CLINICA VETERINARIA Mª AUXILIADORA|Vicente Delgado Algaba, 45|Badajoz, Badajoz (España)|924. 24.625.2
2233|Clínica Veterinaria Dr. Auñón|Levante, 19 - 20 bajos|La Savina, Illes Balears (España)|971.321.262
2234|Clínica Veterinaria Inca C.b.|Malferits, 34 (esq. C/ Mercancías)|Inca, Illes Balears (España)|971.504.271
2235|Bis Vet Veterinaris|Carrer Pau Casals, 27-29|La Bisbal d'Empordà, Girona (España)|972.640.022
2236|Mon Animal|Rambla Badal, 53|Barcelona, Barcelona (España)|932.968.222
2237|Clinica Veterinaria Nanclares Miranda|Pl. República Argentina, 1|Miranda de Ebro, Burgos (España)|947.323.738
2238|Cristo De Las Batallas|Cristo de las Batallas, 3|Plasencia, Cáceres (España)|927.418.841, 606.793.293
2239|Clinica Veterinaria San Jorge, C.b.|Caupolicán, 4|Cáceres, Cáceres (España)|927.261.159, 600.242.263
2240|Clínica Veterinaria La Huella|Urbanización El Rosario S/N - bloque 1|Algeciras, Cádiz (España)|956.654.019
2241|Samovet Asistencia Veterinaria|Avenida Puerta del Sur, 1 loc. 4-A|El Puerto de Santa María, Cádiz (España)|956.614.361, 607.155.621
2242|Clínica Veterinaria Las Montañas|Coronación S/N|Villamartín, Cádiz (España)|956.731.896, 636.048.792
2243|Clínica La Granja|Avda. Sanlúcar, 2|El Puerto de Santa María, Cádiz (España)|956.873.104
2244|Clínica Veterinaria Madre De Dios|Mérito S/N (Pza. Madre de Dios)|Jerez de la Frontera, Cádiz (España)|956.322.353
2245|Clínica Veterinaria Granero|Calle Barbate, 3 A|Vejer de la Frontera, Cádiz (España)|956.447.127
2246|Clínica Veterinaria Pi Gros|Músico Pascual Asensio, 5|Castellón de la Plana, Castellón (España)|964.251.595
2247|Clínica Veterinaria Perros Y Gatos S.c.|Toledo, 71|Ciudad Real, Ciudad Real (España)|926.230.338
2248|Clínica Veterinaria Santa Rosa|Av. Cruz de Juárez, 16|Córdoba, Córdoba (España)|957. 27. 17. 67
2249|Centro Veterinario Victoria|Avenida República Argentina, 24|Córdoba, Córdoba (España)|957.456.244
2250|Clínica Veterinaria Alfaros|Puerta del Rincón 5 (junto a pl. Colón, frente a antiguos cines Isabel la Cátolica)|Córdoba, Córdoba (España)|957.471.937
2251|Clínica Veterinaria Cinos|Carretera Provincial, 141|Cassà de la Selva, Girona (España)|972.460.526, 972.331.248, 937.612.700
2252|Centre Veterinari Volcans|Bernat Vilar, 18|Olot, Girona (España)|972.272.639
2253|Goofy|Francesc Montsalvatge, 18|Olot, Girona (España)|972.266.337
2254|Pics I Tocs|Pg. Catalunya, 8|Torroella de Montgrí, Girona (España)|972.761.639
2255|Clinica Veterinaria Alhambra|Arabial, 47 Torre Neptuno|Granada, Granada (España)|958.520.970
2256|Serengeti|Calle Las Pajaritas, 1 loc 2|Atarfe, Granada (España)|958.437.121
2257|Clínica Veterinaria Virgen Del Cobre S.l.|Av. la Diputación, 25|Alovera, Guadalajara (España)|949.297.031
2258|Clínica Veterinaria Aguas Vivas|Laguna de Taravilla, 8|Guadalajara, Guadalajara (España)|949.214.806
2259|Hospital Veterinario Audele|Oreretako Bidea, 9 (Junto a salida A8 Oiartzun)|Oiartzun, Guipúzcoa (España)|943.261.192
2260|Zoo Can|Paseo Colón, 4|San Sebastián, Guipúzcoa (España)|943.278.612, 943.280.444
2261|Clínica Veterinaria Binéfar|Avenida del Cinca, 55 - 57|Binéfar, Huesca (España)|974.311.033, 974.429.712
2262|Ldo. Carlos Vázquez|Puerta del Sol, 1 bajo A|Jaén, Jaén (España)|953.272.586
2263|Clínica Veterinaria Guayus|Doctor Lario Carrasco, 11|Bailén, Jaén (España)|953.676.285, 627.773.208
2264|Clínica Can|Barcelona, 10|Morro del jable, Las Palmas (España)|928.240.773, 928.290.770
2265|Clínica Veterinaria Santidad|La Purísima, 41|Santidad, Las Palmas (España)|928.603.833
2266|Consulta Veterinaria Libertad|Libertad, 57|Tias, Las Palmas (España)|928.833.189
2267|Clínica Veterinaria Vecindario|Primero de Mayo, 11|Vecindario, Las Palmas (España)|928.757.016
2268|Consulta Veterinaria Princesa Ico|Princesa Ico, 47 (Playa Honda)|San Bartolomé, Las Palmas (España)|928.820.361
2269|Ana Sanchez Masa|C/ Rollo, 25 Bajo|Miajadas, Cáceres (España)|927.160.045
2270|Centro Veterinario San Juan|Músico Víctor Ureña, 4|Telde, Las Palmas (España)|928.703.817
2271|Clinica Veterinario Cachon|Reyes Leoneses, 13 (Frente Musac)|León, León (España)|987.806.139
2272|La Clinica Veterinaria|Alcalde Sáinz de Baranda, 86|Madrid, Madrid (España)|914.095.786
2273|Hospital Veterinario Atabal|Avenida Lope de Vega, 25|Málaga, Málaga (España)|952.300.110
2274|Clínica Veterinaria Zarpas Y Bigotes|Urb. Marbella Real, Local 13|Marbella, Málaga (España)|952.857.863
2275|Clínica Veterinaria|Juan XXIII, 3|Fuente Álamo de Murcia, Murcia (España)|619.378.473
2276|Clínica Veterinaria Dogo|General Aznar, 58|Totana, Murcia (España)|968.422.602
2277|Clínica Veterinaria San Roque|Plaza Cruz Roja, 3|Murcia, Murcia (España)|968.210.761
2278|Clínica Veterinaria Costa Cálida|Avenida Libertad, 10|Los Alcázares, Murcia (España)|968.171.991
2279|Clínica Veterinaria Mayor|Mayor, 28 baj|La Unión, Murcia (España)|968.540.083
2280|Gisela Fernández Fuentes|Parque Erreniega, 22|Zizur mayor, Navarra (España)|948.183.522
2281|Ánade Centro Veterinario|Manuel Rodríguez, 66|O Porriño, Pontevedra (España)|986.334.942
2282|Clínica Peluxa|Fernando Olmedo, 12|Pontevedra, Pontevedra (España)|986.863.276
2283|Clínica Veterinaria Carbajosa|Regato, 2|Carbajosa de la Sagrada, Salamanca (España)|923.208.972
2284|Insega Valdecarros|Av. Burgos, 14 (Urb. El Dintel)|Santa Marta de Tormes, Salamanca (España)|923.133.198
2285|Clínica Los Corrales|Corral del Agua, 11 loc. 9|Sevilla, Sevilla (España)|954.954.144
2286|Clínica Veterinaria Santa Justa|José Laguillo, 27 Bl. I|Sevilla, Sevilla (España)|954.424.628
2287|Clínica Veterinaria Espartinas|Avenida Alcaldesa María Regla Jiménez, 204|Espartinas, Sevilla (España)|955.712.040
2288|Kane's Clínica Veterinaria|Avda. de las Ciencias, 14 C - Loc. 13 (Edif. Azahares)|Sevilla, Sevilla (España)|954.409.994
2289|Clinica Veterinaria Los Pinos|Europa, 1|Dos Hermanas, Sevilla (España)|954.123.127
2290|Serveis Veterinaris Tot Viu|Sant Magí, 36-38|El Vendrell, Tarragona (España)|977.661.388
2291|Clínica Veterinaria Tacoronte S.l.|Carretera General del Norte, 162|Tacoronte, Santa Cruz de Tenerife (España)|922.571.838
2292|Clínica Veterinaria Peceño|El Calvario, 8|Granadilla de Abona, Santa Cruz de Tenerife (España)|922.774.170
2293|La Sagra|Plaza de los Silos, 6|Numancia de la Sagra, Toledo (España)|925.537.967
2294|Grupo Cívica Veterinarios|Avda. Madrid, 335 Urb. Calypo Fado|Casarrubios del Monte, Toledo (España)|918.132.196
2295|Centro Veterinario Yeles|Avenida Castilla la Mancha, 8 bajo|Yeles, Toledo (España)|925.545.715
2296|Clínica Veterinaria Bolta|Ador, 45 (Castellar)|Valencia, València (España)|963.750.998
2297|Clínica Veterinaria Ordas|Benifaio, 10|Almussafes, València (España)|961.795.689
2298|Clínica Veterinaria Recoletos|Acera de Recoletos, 14|Valladolid, Valladolid (España)|983.303.368
2299|Clínica Veterinaria Recoletos|Juan García Hortelano, 19 (Parquesol)|Valladolid, Valladolid (España)|983.375.357
2300|Zoolid|P.º Juan Carlos I, 1|Valladolid, Valladolid (España)|983.273.464
2301|Clínica Veterinaria Avenida S.L.|Juan Tomás de Gandarías, 1|Bilbao, Vizcaya (España)|944.956.027
2302|Clínica Veterinaria Leioa|Ondizko Andra Mari, 1|Leioa, Vizcaya (España)|944.644.896
2303|Clínica Veterinaria Montecanal|Av. Ilustración, 14 local 11|Zaragoza, Zaragoza (España)|876.711.115
2304|Clínica Veterinaria Conde Aranda|Conde de Aranda, 68 bajo|Zaragoza, Zaragoza (España)|976.440.850, 670.021.355
2305|Clínica Veter. Ruiseñores|Doctor Alcay, 11|Zaragoza, Zaragoza (España)|976.373.248
2306|Centro Clinico Veterinario San Miguel|Asalto, 45|Zaragoza, Zaragoza (España)|976.296.614
2307|Dechra Veterinary Products|Balmes, 37|Sant Just Desvern, Barcelona (España)|935. 44.8 5.07
2308|Centro Veterinario Valdavia|Marqués de la Valdavia, 119|Alcobendas, Madrid (España)|916.623.116
2309|Veterinaria Vallehermoso|Vallehermoso, 98|Madrid, Madrid (España)|915.533.012
2310|Clinica Veterinaria Argos|Alfredo Aleix, 5|Madrid, Madrid (España)|915.080.156
2311|Centro Veterinario Numancia|Puerto de Canfranc, 7|Madrid, Madrid (España)|913.282.858
2312|Clínica Veterinaria Seco|Seco, 3|Madrid, Madrid (España)|915.511.937
2313|Clinica Veterinaria Puerta De Hierro S.l.|Isla de Oza, 59|Madrid, Madrid (España)|913.165.380
2314|Faunia|Virgen de Nuria, 17|Madrid, Madrid (España)|914.052.280
2315|Clinica Veterinaria Paseo Imperial|Pl. Francisco Morano, 3|Madrid, Madrid (España)|913.656.367
2316|Centro Veterinario Tellez|Téllez, 3|Madrid, Madrid (España)|915.010.304
2317|Centro Veterinario Criacanarias|C/Franciscanos, 7 Local bajo Izquierda|Gáldar, Las Palmas (España)|928.941.900
2318|Dr. Sebastian Braden|Camino del Angel 11|Lloret de Mar, Girona (España)|972.371.124
2319|Consultorio Veterinario Puebla|Avenida Rufino Rubio 13|Yeles, Toledo (España)|644.057.872
2320|Veterinario a domicilio|a domicilio en O Carballiño, Ourense, O Ribeiro, A Cañiza , Creciente|O Carballiño, Ourense (España)|638.719.669
2321|Centro Veterinario Nazahiari|Grupo Loizaga nº9 (Retuerto)|Barakaldo, Vizcaya (España)|946.010.956
2322|Centro Veterinario Caranza|Masaia, 4|Ferrol, A Coruña (España)|881.939.024
2323|Clínica Veterinaria La Paz|Cardón 14 Urbanización La Paz|Puerto de la Cruz, Santa Cruz de Tenerife (España)|922.372.721
2324|Hospital de Día Vetersalud Santa Isabel|Av. Real Zaragoza nº 1|Zaragoza, Zaragoza (España)|976.572.448
2325|Centro Veterinario Dentavet|Avda. de los vientos, 12 local 10 El Galeon|Adeje, Santa Cruz de Tenerife (España)|922.758.497
2326|CLINICA VETERINARIA ZOOVET|ARISTOFANES 18, BL.4, LOCAL 1|Málaga, Málaga (España)|951.767.615, 639.655.956
2327|HogarVet||Zaragoza, Zaragoza (España)|633.707.511
2328|Clínica Veterinaria La Estación|Plaza Comadrona Rosario Soler, 2, bajo 2 Frente a estación Xirivella-Alqueries|Xirivella, València (España)|961.330.907
2329|C.V. Jardín de la Seda|c/ olof palme, 1 c/ olof palme|Murcia, Murcia (España)|968.940.593
2330|Centro Veterinario La Estrella Daimiel|C/ SAGUNTO, 2|Daimiel, Ciudad Real (España)|926.039.605
2331|ALVARO NAVA|Avda de Langreo, 6|Siero, Asturias (España)|984.497.136
2332|SURvet Urgencias Veterinarias 24h|Diagonal, 317 (entre Pg. de Sant Joan y Roger de Flor)|Barcelona, Barcelona (España)|934.594.500
2333|CLINICA VETERINARIA SUAREZ CUCHI|Carr. General, 113 Carretera General TF-657|Cabo Blanco, Santa Cruz de Tenerife (España)|643.916.317
2334|Clínica Veterinaria Gous Pamplona|Camino de Ardanaz 2 Centro Comercial Octógono|Pamplona, Navarra (España)|948.348.861
2335|Clínica Veterinaria Inferniño|Carretera Castilla, 137|Ferrol, A Coruña (España)|981.372.767
2336|Centro Veterinario Cedeira|Valdoviño, 4|Cedeira, A Coruña (España)|981.482.365
2337|Anubis|Orillamar, 70|A Coruña, A Coruña (España)|981.224.609
2338|Carlos Carrasco Gutierrez|Faxón S/N|Val do Dubra, A Coruña (España)|981.892.956
2339|Hospital Clinico Veterinario San Marcos|Pontevedra, 6|Noia, A Coruña (España)|981.825.682
2340|Clinica Veterinaria Arteixo|CL RIA DE FOZ, 3|Arteixo, A Coruña (España)|981.640.435
2341|CLINICA VETERINARIA SUR|AVDA LAS AMERICAS, S/N|Adeje, Santa Cruz de Tenerife (España)|922.750.027
2342|CLINICA VETERINARIA DOS REGOS|Os Regos S/N|Oleiros, A Coruña (España)|981.631.651
2343|Centro Veterinario Do Xallas|Curros Enríquez S/N|Santa Comba, A Coruña (España)|981.881.046
2344|Arce Veterinario|Pl. Padre José Rubinos, 17|A Coruña, A Coruña (España)|981.154.488
2345|Centro Veterinario Barbanza|Av. Constitución, 21|Boiro, A Coruña (España)|981.848.118
2346|Clinica Veterinaria Valdoncel Sc|Valdoncel, 16|Betanzos, A Coruña (España)|981.774.798
2347|Centro Veterinario San Ramon S.l.|Ctra. Ferrol-Vivero S/N|Moeche, A Coruña (España)|981.404.454
2348|Fauna|Poulo, 26|Neda, A Coruña (España)|981.347.096
2349|Clinica Veterinaria Argos-Cee.|Av. Fisterra, 3|Cee, A Coruña (España)|981.745.826
2350|CLINICA VETERINARIA SANTA CRISTINA|Darwin, 1-3|Oleiros, A Coruña (España)|981.638.185
2351|Catabois|Independencia, 5|Ferrol, A Coruña (España)|981.316.177
2352|Clinica Veterinaria Albeitre S.l.|Lepanto, 4|Ferrol, A Coruña (España)|981.372.812
2353|San Francisco De Asis|Av. Ponte da Pedra, 39|Carballo, A Coruña (España)|981.756.026
2354|Clinica Veterinaria Estrella|Av. Arteixo, 78|A Coruña, A Coruña (España)|981.154.006
2355|Catro Patas|Concepción Arenal S/N|Narón, A Coruña (España)|981.393.513
2356|Clínica San Antonio|Anxos, 106|Ares, A Coruña (España)|981.468.915
2357|Veterinario Vidal|O Emigrante, 13|Mazaricos, A Coruña (España)|981.852.453
2358|Pet-Vet S.l.|Rda. Outeiro, 95|A Coruña, A Coruña (España)|981.287.466
2359|Centro Veterinario Mundo Vivo|Av. Mahía, 50|Ames, A Coruña (España)|981.890.874
2360|Servetga|A Ribeira, 90|Ames, A Coruña (España)|981.883.532
2361|CLINICA VETERINARIA BINISSALEM|C/ CATEDRÀTIC LLABRÉS, 28|Binissalem, Illes Balears (España)|971.512.063
2362|San Roque|San Roque, 24|Santiago de Compostela, A Coruña (España)|981.587.233
2363|Teo Vet|Urb. Dolmen, 9|Teo, A Coruña (España)|981.806.765
2364|Hospital Veterinario Ramiro Tubio|Av. Barraña, 30|Boiro, A Coruña (España)|981.842.784
2365|Clínica veterinaria Garfield|Av. Lugo, 3|As Pontes de García Rodríguez, A Coruña (España)|981.451.926
2366|Enxa|Igrexa, 42|Porto do son, A Coruña (España)|649.413.073
2367|Clh Vet Clinica Veterinaria|P.º de Ronda, 15|A Coruña, A Coruña (España)|981.276.331
2368|Saudevet|Av. José Luis Azcarraga, 4|Ames, A Coruña (España)|981.897.829
2369|Clinica Veterinaria Valdoviño, S.c.|Av. Souto Vizoso, 5-7|Valdoviño, A Coruña (España)|981.486.832
2370|Clinica Veterinaria Sigueiro|Mediodía, 2|Oroso, A Coruña (España)|981.691.242
2371|Anoa Centro Veterinario|Av. Nicasio Pérez (Pol. Ind. Gándara), 8|Ferrol, A Coruña (España)|981.329.093
2372|Centro Veterinario Angulema|Angulema Kalea, 10|Vitoria-Gasteiz, Álava (España)|945.279.550
2373|Centro Veterinario Laqua|Francisco Javier de Landáburu, 20|Vitoria-Gasteiz, Álava (España)|945.171.104
2374|Albaitari|Av. Huetos, 30|Vitoria-Gasteiz, Álava (España)|945.221.958
2375|Residencia Canina Nanclares|Ctra. Madrid-Irún (N-I), KM 341|Iruña Oka, Álava (España)|608.871.985
2376|Aitzgorri|Senda Langarica, 14|Salvatierra, Álava (España)|945.312.572
2377|Centro Veterinario Labastida|Marrate, 4|Labastida, Álava (España)|945.331.585
2378|Clinica Veterinaria Boulevard Sc|Ángela Figuera Aymerich Kalea, 1|Vitoria-Gasteiz, Álava (España)|945.176.660
2379|Clínica veterinaria Andia|Sierra de Andía, 17|Vitoria-Gasteiz, Álava (España)|666.611.665
2380|Clinica Veterinaria Zabalgana|Av. la Ilustración, 53|Vitoria-Gasteiz, Álava (España)|945.003.118
2381|CENTRO VETERINARIO DR. GERARDO IBAÑEZ|Ntra. Sra. de Araceli, 1|Albacete, Albacete (España)|967.246.420
2382|C.A.P. La Escuela|CC. 440 LOS BARRIOS-JEREZ, KM 102|Los Barrios, Cádiz (España)|902.505.799
2383|Maria Jose Gonzalvo Casanova|Senda Sima, 12|Villarrobledo, Albacete (España)|967.145.874
2384|CLINICA VETERINARIA VICTORIA|C/ CABO DE LES SALINES, 8|Moraira, Alicante (España)|966.499.269
2385|Al - Beitar|García Más, 8|Albacete, Albacete (España)|967.237.957
2386|Clínica Veterinaria El Gato Azul|Porta de la Morera, 15|Elche, Alicante (España)|965.455.736
2387|Clínica Aitana|Torre, 27|Elche, Alicante (España)|965.449.421
2388|Clinica Veterinaria Aliaga|Ctra Teulada A Moraira 1342 KM 17|Teulada, Alicante (España)|965.741.263
2389|Marcos Esteban Llorens Rovira|Alcoi, 30|Xixona, Alicante (España)|965.612.854
